Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
,,,-4.82958090563E-07,-0.000166897572853486,
,,,-4.82908090563E-07,-4.56798493360111E-05,
,,,-4.82858090563E-07,-0.000388251676668006,
,,,-4.82808090563E-07,-0.000330277982811822,
,,,-4.82758090563E-07,-0.000156356901243271,
,,,-4.82708090563E-07,-0.000530550743405911,
,,,-4.82658090563E-07,-0.00103123264489113,
,,,-4.82608090563E-07,-0.00119461305484947,
,,,-4.82558090563E-07,-0.00119461305484947,
,,,-4.82508090563E-07,-0.00119461305484947,
,,,-4.82458090563E-07,-0.00110501734616264,
,,,-4.82408090563E-07,-0.000962718279424735,
,,,-4.82358090563E-07,-0.000846770891712367,
,,,-4.82308090563E-07,-0.000767715854635753,
,,,-4.82258090563E-07,-0.000736093839805108,
,,,-4.82208090563E-07,-0.000804608205271506,
,,,-4.82158090563E-07,-0.000957447943619627,
,,,-4.82108090563E-07,-0.000946907272009412,
,,,-4.82058090563E-07,-0.000757175183025538,
,,,-4.82008090563E-07,-0.000699201489169354,
,,,-4.81958090563E-07,-0.000772986190440861,
,,,-4.81908090563E-07,-0.00075190484722043,
,,,-4.81858090563E-07,-0.000857311563322583,
,,,-4.81808090563E-07,-0.0010048809658656,
,,,-4.81758090563E-07,-0.000657038802728493,
,,,-4.81708090563E-07,-0.000193249251879024,
,,,-4.81658090563E-07,-0.000277574624760746,
,,,-4.81608090563E-07,-0.00035662966183736,
,,,-4.81558090563E-07,-0.000103653543192195,
,,,-4.81508090563E-07,-0.000335548318616929,
,,,-4.81458090563E-07,-0.000910014921373659,
,,,-4.81408090563E-07,-0.000746634511415323,
,,,-4.81358090563E-07,-0.000288115296370961,
,,,-4.81308090563E-07,-0.000556902422431449,
,,,-4.81258090563E-07,-0.00104177331650135,
,,,-4.81208090563E-07,-0.000888933578153228,
,,,-4.81158090563E-07,-0.000525280407600803,
,,,-4.81108090563E-07,-0.000562172758236557,
,,,-4.81058090563E-07,-0.000762445518830646,
,,,-4.81008090563E-07,-0.000799337869466399,
,,,-4.80958090563E-07,-0.000683390481754032,
,,,-4.80908090563E-07,-0.000514739735990588,
,,,-4.80858090563E-07,-0.000546361750821234,
,,,-4.80808090563E-07,-0.000904744585568551,
,,,-4.80758090563E-07,-0.00116826137582393,
,,,-4.80708090563E-07,-0.000925825928788981,
,,,-4.80658090563E-07,-0.000794067533661291,
,,,-4.80608090563E-07,-0.00115245036840861,
,,,-4.80558090563E-07,-0.00124731641290055,
,,,-4.80508090563E-07,-0.000830959884297044,
,,,-4.80458090563E-07,-0.000693931153364247,
,,,-4.80408090563E-07,-0.000757175183025538,
,,,-4.80358090563E-07,-0.00050946940018548,
,,,-4.80308090563E-07,-0.000435684698913974,
,,,-4.80258090563E-07,-0.000609605780482525,
,,,-4.80208090563E-07,-0.000477847385354835,
,,,-4.80158090563E-07,-0.00035662966183736,
,,,-4.80108090563E-07,-0.000577983765651879,
,,,-4.80058090563E-07,-0.000657038802728493,
,,,-4.80008090563E-07,-0.000641227795313171,
,,,-4.79958090563E-07,-0.000778256526245968,
,,,-4.79908090563E-07,-0.000635957459508063,
,,,-4.79858090563E-07,-0.000261763617345423,
,,,-4.79808090563E-07,-0.000193249251879024,
,,,-4.79758090563E-07,-0.000251222945735208,
,,,-4.79708090563E-07,-0.000209060259294347,
,,,-4.79658090563E-07,-0.000367170333447575,
,,,-4.79608090563E-07,-0.000609605780482525,
,,,-4.79558090563E-07,-0.00059906510887231,
,,,-4.79508090563E-07,-0.000562172758236557,
,,,-4.79458090563E-07,-0.000794067533661291,
,,,-4.79408090563E-07,-0.00107339533133199,
,,,-4.79358090563E-07,-0.00115772070421372,
,,,-4.79308090563E-07,-0.00116299104001882,
,,,-4.79258090563E-07,-0.00123150540548522,
